timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548915499177,1651,Http Request /careers,200,,Thread Group 1-2,text,true,,223828,130,10,10,https://www-prd.liferay.com/careers,1380,0,173
1548915497930,2924,Http Request /group/customer,404,,Thread Group 1-6,text,false,Test failed: code expected to match /200/,258931,137,10,10,https://www-prd.liferay.com/group/customer,2706,0,1169
1548915500829,226,Http Request /subscription-services,503,Service Unavailable,Thread Group 1-2,text,false,Test failed: code expected to match /200/,291,144,10,10,https://www-prd.liferay.com/subscription-services,226,0,170
1548915498130,3090,Http Request /downloads/thanks-for-downloading,200,,Thread Group 1-8,text,true,,296295,155,10,10,https://www-prd.liferay.com/downloads/thanks-for-downloading,2818,0,968
1548915499865,1372,Http Request /group/customer/dxp,404,,Thread Group 1-4,text,false,Test failed: code expected to match /200/,259226,141,10,10,https://www-prd.liferay.com/group/customer/dxp,1101,0,173
1548915501056,226,Http Request /solutions,503,Service Unavailable,Thread Group 1-2,text,false,Test failed: code expected to match /200/,291,132,10,10,https://www-prd.liferay.com/solutions,226,0,171
1548915499176,2135,Http Request /downloads/liferay-projects/liferay-ide,404,,Thread Group 1-1,text,false,Test failed: code expected to match /200/,260026,161,10,10,https://www-prd.liferay.com/downloads/liferay-projects/liferay-ide,1918,0,176
1548915501237,226,Http Request /products/dxp/30-day-trial,503,Service Unavailable,Thread Group 1-4,text,false,Test failed: code expected to match /200/,291,148,10,10,https://www-prd.liferay.com/products/dxp/30-day-trial,226,0,171
1548915501312,228,Http Request /it/home,503,Service Unavailable,Thread Group 1-1,text,false,Test failed: code expected to match /200/,291,130,10,10,https://www-prd.liferay.com/it/home,227,0,172
1548915501464,393,Http Request /es/downloads,503,Service Unavailable,Thread Group 1-4,text,false,Test failed: code expected to match /200/,816,437,10,10,https://www-prd.liferay.com/es/products/dxp/30-day-trial,227,0,172
1548915501464,227,Http Request /es/downloads-0,301,Moved Permanently,Thread Group 1-4,text,true,,391,135,10,10,https://www-prd.liferay.com/es/downloads,227,0,172
1548915501692,108,Http Request /es/downloads-1,302,Found,Thread Group 1-4,,true,,134,151,10,10,http://www-prd.liferay.com/es/products/dxp/30-day-trial,108,0,54
1548915501801,56,Http Request /es/downloads-2,503,Service Unavailable,Thread Group 1-4,text,false,,291,151,10,10,https://www-prd.liferay.com/es/products/dxp/30-day-trial,56,0,0
1548915499335,2537,Http Request /blog/en-us/digital-strategy/16-awesome-web-portal-examples,200,,Thread Group 1-3,text,true,,263800,181,10,10,https://www-prd.liferay.com/blog/en-us/digital-strategy/16-awesome-web-portal-examples,2267,0,170
1548915500572,1392,Http Request /web/martin.yan/blog/-/blogs/15-awesome-web-portal-examples,404,,Thread Group 1-7,text,false,Test failed: code expected to match /200/,261294,181,10,10,https://www-prd.liferay.com/web/martin.yan/blog/-/blogs/15-awesome-web-portal-examples,1122,0,174
1548915497828,4145,Http Request /digital-experience-platform,200,,Thread Group 1-5,text,true,,335581,420,10,10,https://www-prd.liferay.com/products/dxp,1338,0,1270
1548915497828,1338,Http Request /digital-experience-platform-0,302,Moved Temporarily,Thread Group 1-5,text,true,,351,150,10,10,https://www-prd.liferay.com/digital-experience-platform,1338,0,1270
1548915499169,108,Http Request /digital-experience-platform-1,302,Found,Thread Group 1-5,,true,,118,135,10,10,http://www-prd.liferay.com/products/dxp,108,0,54
1548915499277,2696,Http Request /digital-experience-platform-2,200,,Thread Group 1-5,text,true,,335112,135,10,10,https://www-prd.liferay.com/products/dxp,2423,0,0
1548915498328,3647,Http Request /products/dxp,200,,Thread Group 1-10,text,true,,335112,135,10,10,https://www-prd.liferay.com/products/dxp,3375,0,769
1548915501873,228,Http Request /solutions/portals,503,Service Unavailable,Thread Group 1-3,text,false,Test failed: code expected to match /200/,291,140,10,10,https://www-prd.liferay.com/solutions/portals,228,0,173
1548915501974,226,Http Request /marketplace-upgrade,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,142,10,10,https://www-prd.liferay.com/marketplace-upgrade,226,0,171
1548915502102,238,Http Request /community/forums/-/message_boards/message/316880,503,Service Unavailable,Thread Group 1-3,text,false,Test failed: code expected to match /200/,291,171,10,10,https://www-prd.liferay.com/community/forums/-/message_boards/message/316880,238,0,183
1548915499406,3442,Http Request /ja/home,200,,Thread Group 1-9,text,true,,498105,130,10,10,https://www-prd.liferay.com/ja/home,2847,0,171
1548915502849,228,Http Request /services/partners,503,Service Unavailable,Thread Group 1-9,text,false,Test failed: code expected to match /200/,291,140,10,10,https://www-prd.liferay.com/services/partners,227,0,172
1548915501965,1221,Http Request /community/forums/-/message_boards/message/10038451,404,,Thread Group 1-7,text,false,Test failed: code expected to match /200/,260911,173,10,10,https://www-prd.liferay.com/community/forums/-/message_boards/message/10038451,949,0,173
1548915501858,1509,Http Request /es/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,404,,Thread Group 1-4,text,false,Test failed: code expected to match /200/,268009,271,10,10,https://www-prd.liferay.com/es/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,1292,0,171
1548915501283,2103,Http Request /product/features/platform,200,,Thread Group 1-2,text,true,,252395,454,10,10,https://www-prd.liferay.com/products/dxp/horizontal-portal,225,0,170
1548915501283,225,Http Request /product/features/platform-0,302,Moved Temporarily,Thread Group 1-2,text,true,,369,148,10,10,https://www-prd.liferay.com/product/features/platform,225,0,170
1548915501509,108,Http Request /product/features/platform-1,302,Found,Thread Group 1-2,,true,,136,153,10,10,http://www-prd.liferay.com/products/dxp/horizontal-portal,108,0,54
1548915501618,1768,Http Request /product/features/platform-2,200,,Thread Group 1-2,text,true,,251890,153,10,10,https://www-prd.liferay.com/products/dxp/horizontal-portal,1552,0,0
1548915503187,224,Http Request /group/customer/dxp/downloads/digital-enterprise,503,Service Unavailable,Thread Group 1-7,text,false,Test failed: code expected to match /200/,291,170,10,10,https://www-prd.liferay.com/group/customer/dxp/downloads/digital-enterprise,224,0,169
1548915501541,1887,Http Request /home,200,,Thread Group 1-1,text,true,,484017,127,10,10,https://www-prd.liferay.com/home,1562,0,169
1548915501221,2311,Http Request /de/home,200,,Thread Group 1-8,text,true,,491275,130,10,10,https://www-prd.liferay.com/de/home,2037,0,174
1548915500854,2744,Http Request /pt/home,200,,Thread Group 1-6,text,true,,491194,130,10,10,https://www-prd.liferay.com/pt/home,2152,0,171
